照片,該照片的文字敘述
文件一_第12頁,這是一張為參與申請入學二階面試的考生與家長精心繪製的外雙溪校區平面導覽地圖。整張地圖採用清新活潑的色塊區分各大教學建築，包括綜合大樓、寵惠堂、戴蓀堂、愛徒樓、安素堂、第一與第二教研大樓以及圖書館等重要地標。在敬熙路旁的「哲生樓」位置特別插上了一顆醒目的立體紅色大圖釘作為標記，清楚點出資料科學系的面試試場所在地。地圖左上方繪有一隻佩戴大眼鏡的東吳智慧貓頭鷹吉祥物，地面上並畫有由校門口接駁站一路延伸至哲生樓試場的彩色小腳印導引動線。右下角則標註了資料科學系的系徽，透過直觀清晰的地圖繪製，讓初次造訪東吳外雙溪校區的考生與家長能夠快速掌握校園地理方位，避免迷路並能從容不迫地依時完成面試報到。
文件一_第13頁,這張圖片是前一張外雙溪校區導覽地圖的局部超特寫放大版本，專注於呈現考生抵達校園後前往試場的關鍵步行路徑。畫面放大顯示了外雙溪校區的主要中軸區域：由上方的臨溪路校園公車站牌與八角亭出發，順著醒目的直行紅色虛線箭頭，穿越綜合大樓與戴蓀堂之間的走道，直接引導至橫向的敬熙路，最後精確停留在標註有立體紅色大圖釘的「哲生樓」建築物。路線兩側生動地點綴著彩色的小腳印圖示與智慧貓頭鷹插畫，旁邊亦清楚標註了鄰近的圖書館、第一教研大樓、東桂學廬及柚芳樓等大樓相對位置。這種特寫視角的設計能讓考生在手機螢幕上一目了然地看清最後幾十公尺的報到動線，體現出學系在籌辦甄試工作時處處為考生著想的細緻度與貼心服務。
文件一_第14頁,這是一張充滿文青氛圍的試場第一線環境特寫照片，採用微距淺景深手法拍攝。畫面中央焦點是一隻手正拿著一塊方形的薄荷綠色壓克力金屬指示標牌，牌子正中央印有東吳大學古色古香的紅色圓形校徽，下方則印有代表巨量資料管理學院的彩色圖標與院系縮寫。標牌後方是一間現代化的大學電腦教室，透過柔和的虛化散景可以看到整齊排列的電腦螢幕、白色桌面隔板以及正在忙碌準備試務的系辦人員身影。照片下方附有圓角紫色標籤與虛線對話框，清楚寫著「東吳大學資料科學系 115學年度大學申請入學面試」。這張照片以極具質感的視角記錄下甄試當天試場莊重而安靜的迎賓準備，展現出專業的高等教育學習環境。
文件一_第15頁,這是一張針對115學年度大學申請入學第二階段指定項目甄試面試所設計的官方重要須知海報。頂部繪有發射音波的紅色大聲公與四角星光芒，版面以溫暖明亮的橘白配色呈現。海報清楚列出面試時間為115年5月16日（六）及5月17日（日），地點位於外雙溪校區哲生樓，並明確區分H303為陪考家長休息區、H304為考生候考區。中段以大字推廣「面試完去哪裡？來H303放鬆 AI 體驗」，說明現場提供三大專屬活動：由院長與系主任親自與親友進行溫馨對談、在校學長姊實戰經驗談，以及多項AI科技設備展示體驗。底部以黃色警示橫條提醒考生可於5月15日（五）下午14:00至17:00親至外雙溪校區查看試場環境，但各試場教室一律不予開放進入，各項規範十分完整明確。
文件一_第16頁,這張照片記錄了資料科學系所舉辦的「機械手臂工作坊」極具臨場感與專注度的活動花絮。畫面拍攝自研討會議室內部，右上方標有搶眼的黃底黑字對話框「活動花絮」以及橘色立體字「機械手臂工作坊」。教室內的長型木質工作桌上整齊擺放著多個亮藍色大型專業防震工具箱、筆記型電腦、水杯與零件教材。多位學員或坐或立，聚精會神地看著桌面上的設備與前方投影布幕。前方講台處，一位身穿淺藍色襯衫的專業講師正專注操作電腦並向學員解說機械手臂的伺服馬達控制、自動化路徑規劃與感測反饋演算法。前景中一位戴著黑色大蝴蝶結髮飾的女學員正專心做筆記，整間教室瀰漫著動手實作與探索智慧製造技術的濃厚學術氛圍。
文件一_第17頁,這是一張圖文並茂、色彩繽紛可愛的畢業生升學指南圖卡，主題為「畢業生升學方向」，四周飾有學士帽、地球儀、基因鏈及書籍等插畫。內容將資科系畢業生的升學路徑清晰劃分為三大核心導向：第一類為「技術導向（AI／資工／資料科學）」，配有機器人操作筆電圖示，列出國內頂尖名校台大、成大、交大、政大、中央，以及國外名校澳洲Monash、美國Minnesota、澳洲雪梨大學與澳洲國立大學（ANU）；第二類為「商業導向（商業分析／企管）」，配有商業圖表與西裝商務人士插圖，列出政大、中央、中山、台北大學及英國倫敦大學商業分析碩士；第三類為「跨域應用（醫療／教育／科技）」，配有DNA與聽診器插圖，推薦台大流行病學、陽明醫學及清華學習科學研究所，充分展現資科系畢業生寬廣無界的多元進路。
文件一_第18頁,這是一張專門展示資料科學系優秀系友錄取「國外大學研究所」的光榮榜單圖卡。頂部以深藍色字體標示主題，背景點綴著象徵全球互聯的地球經緯網格。下方整齊排列了五所全球頂尖知名學府的錄取資訊，每一項皆配有精緻的國旗圓形圖標與學術代表小圖案：第一所為澳洲蒙納許大學資料科學碩士（Monash University Master of Data Science）；第二所為美國明尼蘇達大學雙城分校電腦科學碩士（University of Minnesota Twin Cities MS in Computer Science）；第三所為英國倫敦大學商業分析碩士（University of London MSc Business Analytics）；第四所為澳洲雪梨大學電腦科學碩士（University of Sydney Master of Computer Science）；第五所為澳洲國立大學計算機碩士（ANU Master of Computing），具體展現出系所培育學生接軌國際頂尖科技學府的強大教育實力。
文件一_第19頁,這是一張資訊量極為龐大且詳盡的「一般大學 特定碩士／學位學程概覽」升學榜單指南，旨在為學弟妹梳理國內各大頂尖研究學府的進修選擇。版面採用左右分欄與三大色塊分類：左側粉紅色區塊為「資訊／AI／資料科學」領域，羅列了台大資料科學學位學程、清大服務科學所、清大學習科學與科技所、陽明交大生醫資訊所、成大數據科學所、成大智慧科技系統所、政大資科所與資管所、師大資工所與資教所、中央資工與AI學位學程等十餘個系所；右上方藍色區塊為「商管／大數據／金融科技」，涵蓋陽明交大科管所、經管所、政大企研所、中山行傳所、中央產經所、中正金科與企管等；右下方紫色區塊則為「醫療／公衛／跨域」，包含台大流病與預醫所、生機所及陽明公衛所，展現出極為全面的跨域升學版圖。
文件一_第20頁,這張升學圖卡專注於梳理國內頂尖「科技大學」相關碩士班與學位學程的升學脈絡。頂部繪有宏偉大學校舍建築插圖，內文條列分為三大專業領域：第一類為「資訊／AI」，配有大腦與科技微晶片插圖，列出國立臺灣科技大學人工智慧跨域科技碩士班、國立臺灣科技大學資訊工程學系碩士班以及國立臺灣科技大學資訊管理系碩士班；第二類為「商管／金融」，配有公事包與成長趨勢箭頭圖案，涵蓋台科大財務金融研究所、北科大資訊與財金管理研究所、北科大經營管理系碩士班以及高雄科技大學風險管理與保險系碩士班；第三類為「設計／跨域」，列出北科大互動設計系碩士班與智慧創意設計碩士班，提供熱衷於技職體系高階實務研究的學生明確的升學指引。
文件一_第21頁,這是一張記錄前沿人工智慧專題講座的課堂實況照片。畫面中一位留著俐落短髮、身穿黑色休閒POLO衫的青年學者正站在大學教室講台前，他手持黑色無線麥克風與簡報翻頁筆，眼神專注且生動地向台下學員進行技術剖析。他身旁的大型投影布幕上赫然顯示著醒目的白底藍字大標題：「AI AGENT 與 AGENTIC AI 你分得清嗎？」，下方隱約可見針對兩者在自主性、架構設計以及任務執行能力上的比較細節。照片下方壓有巨量資料管理學院資料科學系的官方橫條Logo。整個場景生動捕捉到了課堂上針對當前生成式AI領域最新發展熱點所進行的深度思辨，顯露出系所課程與業界前沿技術毫無時差的緊密鏈結。
文件一_第22頁,這是一張極具科幻美感的「資料科學系職涯諮詢室」官方宣傳圖卡。整張圖片以深邃的黑夜星空為背景，上方飄浮著夢幻的紫色土星與多顆發光天體。中央以充滿視覺張力的青色與黃色立體大字提問：「沒念頂大，真的能出國念研究所嗎？」，直擊許多大專學子在求學過程中的真實焦慮。下方繪製了一個身穿白色宇航服的可愛小太空人坐在外星地表上比讚，身旁點綴著閃爍的小星星。底層則整齊羅列了四個發光的亮黃色二維碼矩陣，分別連結至東吳巨資學院官網、資科系官方Facebook粉絲專頁、官方Instagram帳號以及YouTube影音頻道，並附有官方網址，號召對出國深造與大數據學習感興趣的同學主動按讚、訂閱並獲取更多一手留學與職涯輔導資訊。
文件一_第23頁,這是一張以活潑短影音（Reels）風格呈現的社群推廣圖卡，主題為「金融科技 X 資料科學」。上方以搶眼的金色與白色字體呈現主題標題，配圖是一段生活化短片的情境截圖：兩位女同學正神情專注地趴在桌前緊盯著筆記型電腦螢幕，字幕巧妙帶入年輕世代熱門的社群用語「POV: (偷聽中) 他們在講0050，原來是這樣判斷的!」，生動展示出學生們如何將課堂所學的程式交易、演算法與量化模型應用在台灣最具代表性的元大台灣50（0050）ETF走勢預測上。畫面下方延續統一的太空星系視覺風格，繪有太空人與星球插畫，並附上巨資學院官網、FB、IG及YouTube四合一社群媒體訂閱二維碼，成功將嚴肅的量化金融科技轉化為引人入勝的校園生活話題。
文件一_第24頁,這張照片記錄了東吳大學巨資學院與國際頂尖名校推動學術合作的榮耀歷史時刻。畫面中央是東吳大學詹乾隆校長（身穿深色西裝打深紫領帶），左側是巨量資料管理學院金凱儀院長（身穿典雅淺綠色上衣），右側則是來自美國亞利桑那州立大學（ASU）雷鳥全球管理學院的女性主管代表（身穿粉藍色套裝佩戴花色圍巾）。三人站在莊嚴的紅底「百年東吳」校徽背板前，雙手端正地共同展示雙方簽署完成的正式合作契約文本。會議桌上精緻陳列著象徵兩國友好交流的中華民國國旗與美國國旗，以及雙方的精緻金屬桌牌。照片下方壓上一行端正的文字說明：「本校巨資學院與雷鳥全球管理學院簽訂雙聯學位合作」，具體見證了學院拓展國際雙聯學位與矽谷/全美接軌的卓越成效。
文件一_第25頁,這張照片記錄了東吳巨資學院與美國雷鳥全球管理學院在簽約後的深度雙邊學術座談會現場。會議在典雅明亮的貴賓會議室內進行，長型會議桌上整齊擺放著雙方國旗、會議手冊以及與會貴賓的咖啡杯。巨資學院金凱儀院長站立在講台投影幕前，手持簡報筆神情從容自信地面向美方訪賓發表演說。身後大螢幕正展示題為「International exchange programs」的英文投影片，畫面上生動呈現出東吳與ASU雷鳥學院合作的各項國際交換學程與實習規劃。桌子兩側端坐著全神貫注聆聽的雷鳥學院代表以及東吳大學校內主管。照片底部清楚標註文字說明：「巨資學院金凱儀院長分享本校AI發展現況」，展現出東吳在AI大數據領域的跨國學術對話實力。
文件一_第26頁,這是一張東吳大學校院主管與美國亞利桑那州立大學（ASU）雷鳥全球管理學院代表團全體人員的隆重合影。全體師長一字排開站在印有雄偉校園建築歷史影像與蒼勁「百年東吳」書法字樣的大型迎賓背板前。畫面中心為詹乾隆校長與雷鳥學院女性代表，身旁圍繞著巨資學院金凱儀院長、蘇明祥副教授等多位學院專任教師及校方國際處主管。會議長桌上端正擺放著中華民國青天白日滿地紅國旗與美國星條旗，前排並展示著象徵東吳校訓「養天地正氣 法古今完人」的圓形校徽。每位出席師長皆面帶笑容，神情愉悅從容，具體展現出兩校締結跨國雙聯學制合作關係後的和諧氣氛與對未來培育國際大數據商管人才的深厚信心。
文件一_第27頁,這張照片記錄了東吳大學智慧創新AI學習中心內部先進科研設備的動態實機體驗。畫面中央一位高挑的男學員身穿貼身黑底紅邊的全身慣性動作捕捉感應服裝，頭戴配備有精密感測鏡頭的特製頭盔，正站在充滿未來感的科技走道中央進行系統校準與動作演示。走道兩旁配置了現代化的綠色造型人體工學椅與多螢幕工作站，背景中多位同仁正興奮地拿著手機記錄實況。畫面中央覆蓋著醒目的半透明白色橫幅標題，上面印有藍色字樣：「透過頭部與全身動作捕捉系統」，左下方並印有東吳大學巨資學院與資料科學系的聯合Logo。整張照片直觀展示了學院在元宇宙、虛擬人體姿態估算與人機互動領域所投下的頂尖軟硬體教學資源。
文件一_第28頁,這是一張充滿朝氣的高中生校園參訪團大合照。畫面拍攝於東吳大學智慧創新AI學習中心內部，牆面採用象徵科技活力的大面積草綠色與電路板線條設計，上方印有發光的「Artificial Intelligence」標誌與圓形時鐘。約莫三十位身穿灰色運動制服的高中男女學生精神飽滿地或蹲或站，紛紛對著鏡頭比出剪刀手、愛心或讚的歡樂手勢。在前排中央的淺色木紋地板上，整齊擺放著一黑一白兩台小巧可愛、螢幕正亮著藍色圓形大眼睛的「凱比機器人（Kebbi）」，宛如迎賓小大使一般與學生同框。後排兩側站著帶隊參訪的系上師長與助教，整張照片洋溢著高中學子踏入大學頂尖AI實驗室時的興奮喜悅與對未來大數據科技的無限嚮往。
文件一_第29頁,這張照片以極佳的廣角俯視視角，完整展現了東吳大學「智慧創新AI學習中心」這座高規格智慧實驗室的壯觀上課場景。整間教室的天花板安裝了黑色的工業風軌道投射燈，牆面與隔板融入了極具科技感的綠色電路脈絡圖騰。中央是一張長型的多功能研討工作島，每一席位皆標準配備了頂級的專業電競主機與高解析度雙螢幕，多位高中參訪學員端坐在符合人體工學的草綠色網布旋轉椅上專注操作。兩側螢幕與前方高解析大投影布幕正同步聯播系所簡報，展示著五大領域發展與人工智慧跨域應用圖解。整個空間兼具科技前衛感與舒適學習氛圍，具體呈現出東吳巨資學院為學子打造的全台頂級AI研討與實作環境。
文件一_第30頁,這是一張宣傳系所先進研究設備的形象海報，主題為「資料科學系 未來實驗室 DATA SCIENCE LAB 直擊」。畫面主角是一位留著齊瀏海與深黑長髮的女學員，她身穿專業的白色實驗室長袍，面戴一副造型特殊的厚黑框「SOL穿戴式AR眼動儀眼鏡」，正微微低頭全神貫注地凝視著桌面上由黑線外接連接的智慧型手機螢幕。手機螢幕上清晰顯示著即時的視線注視點熱區圖與眼球動態追蹤數據。背景為實驗室內的辦公座椅與簡約白牆。海報下方壓有巨量資料管理學院資料科學系的官方品牌標誌。整張圖片充滿前沿人機互動（HCI）與認知神經科學研究的專業氛圍，具體傳達出系所如何將資料科學深度延伸至穿戴式科技與多媒體數據分析的最新維度。
文件一_第31頁,這張照片捕捉了一場規模宏大且專注度極高的大型AI工作坊教學現場。畫面拍攝於外雙溪校區的階梯綜合教室內，大約四、五十位年輕學員密密麻麻地坐在黃色連體課桌椅上，幾乎每個人桌上都擺放著一台全神貫注操作中的筆記型電腦，部分同學手邊還備有筆記本與飲料杯。講台前方的大型投影螢幕上正展示著「生成式AI工作坊：從零開始的實作體驗」之投影片，繪有四個象徵靈感啟發的燈泡圖案。講師站在講桌旁手持麥克風熱情授課，教室後方亦有年長學員認真旁聽。整面綠色黑板襯托出明亮充足的採光，畫面將滿室學子汲汲營營學習前沿AI技術的專注神情展露無遺，展現出學院推廣數位賦能教育的強大號召力。
文件一_第32頁,這是一張專題工作坊專業講師的特寫授課鏡頭。畫面中是一位面容清秀、目光堅毅的年輕學者，身穿深藍色短袖POLO衫，正手握黑色無線麥克風站在講台綠色黑板前向學員進行精闢的技術講解。他身旁投影布幕上展示著極簡風格的投影片，上方繪有一個可愛的小機器人頭部圖示，並以大字寫著核心主題：「AI Agent (OpenClaw - Manus)」，下方則標示出三大技術特徵：「能規劃、使用工具、主動執行任務」。講師透過生動的手勢與深入淺出的語言，帶領在場學員拆解新一代自主智能代理人相較於傳統對話機器人的本質躍進，展現出高度專業且充滿學術熱忱的講課神態，生動詮釋了前瞻技術推廣課堂的魅力。
文件一_第33頁,這張照片記錄了工作坊深入探討底層系統架構的核心授課環節。年輕講師站在講台一側，右手自然微揚配合講課節奏，身後大投影布幕上清晰投射出題為「OpenClaw — 核心特色」的六宮格技術架構圖。投影片以清爽的青綠色塊詳細解析系統的六大核心支柱：左上角「開源自架」（在自己電腦上運行，資料不經第三方確保隱私）、中上「多通道整合」（支援WhatsApp、Telegram、Discord等20+平台）、右上「持久記憶」（跨對話記憶與上下文累積）、左下「自主行動」（排程任務、主動提醒、背景自動化）、中下「技能系統」（社群技能市場與自訂擴充）以及右下「語音互動」（語音喚醒與對話）。台下學員皆抬頭專注凝視架構圖，現場科技探索氛圍濃厚。
文件一_第34頁,這張照片記錄了工作坊學員上台進行專案實作成果發表的精彩瞬間。畫面上兩位身穿深色休閒服裝的男同學並肩站立在講台前，身後的大螢幕上正顯示著紙飛機圖標的「連接 Telegram（輸出終端）」投影片。左側戴著金屬細框眼鏡、身穿深綠色連帽衛衣的同學右手緊握麥克風，神情自信且口條清晰地向全場觀眾解說他們這組如何成功調用 API 將自建的 AI 代理人串接到 Telegram 社群通訊軟體上實現自動回覆；右側身穿黑色襯衫的組員則專注看著講台上的筆記型電腦，隨時準備進行實機程式運作與指令測試示範。兩人的默契配合與毫不怯場的發表風範，完美體現了資料科學系著重實戰演練與動手打造完整系統的教育成效。
文件一_第35頁,這張照片記錄了工作坊進行底層作業系統配置與技術除錯的實況教學。講台上的大螢幕正投影著一份針對 Windows 環境的繁體中文操作教學手冊，上方清楚標示「此步驟僅 Windows (WSL) 適用」，並以圖文詳細列出「Windows-建立新使用者」之具體路徑：從開始設定、帳戶、其他使用者，到新增本機帳號與設定四位數安全密碼，甚至包含 Win+L 切換登入測試之快捷鍵說明。右側身穿深色襯衫的講師手持麥克風，逐字逐句帶領台下操作遇到障礙的學員排除系統權限與虛擬化子系統安裝難題，身旁組員亦隨時協同觀測。整個畫面展現出技術工作坊極為嚴謹、注重實操細節，且確保每位學員都能順利在個人電腦跑通系統的教學熱忱。
文件一_第36頁,這是一張展現教學現場細緻一對一技術指導的溫馨特寫照片。畫面右側是一位留著深棕色飄逸長髮、身穿經典藍白細條紋短袖上衣的女學員，她端坐在鵝黃色椅子上，雙手正放在黑色的 MSI 高階電競筆記型電腦鍵盤與觸控板上進行程式編輯。畫面左側是一位穿著深藍色休閒 POLO 衫與牛仔褲的熱心助教，他彎下腰將身體前傾靠近學員，伸出右手食指精確地指向螢幕上某一特定代碼區域，眼神專注地為學員解釋演算法邏輯與除錯方向。背景中其他同學亦正各自對著電腦熱烈研討。整張照片景深層次分明，將大學課堂中助教毫無保留、耐心陪伴學員克服程式設計瓶頸的師生互動畫面深刻定格。
文件一_第37頁,這張照片自教室側後方視角捕捉了實作課堂上緊湊而專注的整體氛圍。畫面中央那位穿著藍色 POLO 衫的助教正穿梭在課桌椅走道間，他停下腳步微微側身，伸出手指為身旁座位上的學員提供即時的代碼診斷。放眼望去，整間教室坐滿了青年學子，大家不約而同地開啟個人筆記型電腦，有的螢幕上跑著色彩繽紛的代碼編輯器，有的顯示著命令提示字元終端機。學員們或戴著口罩埋頭敲擊鍵盤，或若有所思地凝視螢幕推演演算法邏輯。教室牆面簡潔，採光明亮，前景與後景層次豐富，生動勾勒出一幅當代資料科學系學生在真實課堂中沉浸於程式編程、技術探索與團隊共學的生動群像。
文件一_第38頁,這是一張深刻捕捉學員課堂專注神情的特寫鏡頭。畫面聚焦於兩位並肩端坐的女同學，前景的女同學留著烏黑長髮並戴著一副細圓框眼鏡與淺粉色口罩，她身穿溫暖的淺藍色大學T恤，目光敏銳而沉靜地凝視著前方的電腦螢幕，右手正細微地操控著滑鼠進行數據分析流程。身旁另一位同學則穿著米白色防風連帽外套與白色口罩，同樣全神貫注地投入在同一項分析任務中。鏡頭以淺景深手法將背景中的其他同學與雜物虛化，使得兩位女同學專心致志的側影格外鮮明突出，淋漓盡致地傳達出資料科學領域學子在面對複雜數據與程式邏輯時所具備的沉穩心態、專注力與求知若渴的求學態度。
文件一_第39頁,這是一張展現行動裝置與電腦端跨平台除錯的生動課堂側拍。畫面中央是一位戴著圓形金屬眼鏡、佩戴智慧手錶且身穿簡約白T恤的男同學，他坐在黃色連椅上，左手正拿著一台外接測試用的智慧型手機，右手手指靈活地在筆電鍵盤上敲擊指令。站在他身旁的男助教身穿深色 POLO 衫，身體極度前傾，視線與學生的手機螢幕和筆電螢幕保持水平，神情極其專注地檢視著數據即時串流與通訊協議之傳輸狀況。後景一位穿條紋上衣的女同學亦沉浸於自己的筆電畫面中。這張照片生動呈現了資料科學實作已不再局限於傳統桌面端運算，而是全面走向邊緣運算、行動通訊與物聯網多端整合的現代化教學現場實況。
